rssd_id,portfolio,Peer,state,present,peer_rssd_id,Assets,color,Size,loc_x,loc_y,name
491224,Comm. & Industrial,bank3,Pennsylvania,1,2354985,18,#1900ff,6,15,30,CUSTOMERS BK
491934,Comm. & Industrial,bank0,Georgia,2,491934,1,#000000,8,-5,55,COLONY BK
491934,Comm. & Industrial,bank1,Pennsylvania,1,5210,2,#fffb00,12,15,30,ACNB BK
491934,Comm. & Industrial,bank2,Arkansas,1,12946,1,#ff00ff,8,-42,48,FARMERS B&TC
491934,Comm. & Industrial,bank3,Pennsylvania,1,18827,1,#1900ff,8,10,27,NEXTIER BK NA
494261,Comm. & Industrial,bank0,California,2,494261,28,#000000,6,-145,40,PACIFIC WESTERN BK
494261,Comm. & Industrial,bank1,Illinois,1,210434,151,#fffb00,12,-27,37,NORTHERN TC
494261,Comm. & Industrial,bank2,Missouri,1,601050,31,#ff00ff,8,-38,38,COMMERCE BK
494261,Comm. & Industrial,bank3,Florida,1,1929247,37,#1900ff,10,0,63,SOUTH ST BK NA
497404,Comm. & Industrial,bank0,Delaware,2,497404,388,#000000,12,28,38,T D BK NA
497404,Comm. & Industrial,bank1,Illinois,1,75633,151,#fffb00,6,-27,37,BMO HARRIS BK NA
497404,Comm. & Industrial,bank2,Ohio,1,280110,168,#ff00ff,8,-5,35,KEYBANK NA
497404,Comm. & Industrial,bank3,Ohio,1,723112,200,#1900ff,10,2,30,FIFTH THIRD BK NA
501105,Comm. & Industrial,bank0,New York,2,501105,138,#000000,10,28,18,MANUFACTURERS & TRADERS TC
501105,Comm. & Industrial,bank1,Texas,1,60143,83,#fffb00,6,-60,60,COMERICA BK
501105,Comm. & Industrial,bank2,Virginia,1,413208,202,#ff00ff,12,15,42,HSBC BK USA NA
501105,Comm. & Industrial,bank3,Utah,1,1394676,134,#1900ff,8,-110,35,AMERICAN EXPRESS NB
502849,Comm. & Industrial,bank0,Illinois,2,502849,2,#000000,10,-27,37,BANTERRA BK
502849,Comm. & Industrial,bank1,Pennsylvania,1,5210,2,#fffb00,10,15,30,ACNB BK
502849,Comm. & Industrial,bank2,Arkansas,1,12946,1,#ff00ff,6,-42,48,FARMERS B&TC
502849,Comm. & Industrial,bank3,Pennsylvania,1,18827,1,#1900ff,6,10,27,NEXTIER BK NA
504713,Comm. & Industrial,bank0,Ohio,2,504713,530,#000000,10,-5,35,U S BK NA
504713,Comm. & Industrial,bank1,South Dakota,1,476810,1648,#fffb00,12,-65,15,CITIBANK NA
504713,Comm. & Industrial,bank2,Delaware,1,817824,457,#ff00ff,6,28,38,PNC BK NA
504713,Comm. & Industrial,bank3,North Carolina,1,852320,488,#1900ff,8,9,48,TRUIST BK
506249,Comm. & Industrial,bank0,Missouri,2,506249,2,#000000,8,-38,38,CENTRAL BK OF ST LOUIS
506249,Comm. & Industrial,bank1,New York,1,292908,2,#fffb00,8,28,18,EVANS BK NA
506249,Comm. & Industrial,bank2,Maine,1,593007,5,#ff00ff,12,50,10,CAMDEN NB
506249,Comm. & Industrial,bank3,Wisconsin,1,594947,2,#1900ff,8,-30,15,BANK FIRST NA
506922,Comm. & Industrial,bank0,Maryland,2,506922,12,#000000,8,22,38,SANDY SPRING BK
506922,Comm. & Industrial,bank1,New York,1,229913,7,#fffb00,6,28,18,MIZUHO BK USA
506922,Comm. & Industrial,bank2,Massachusetts,1,613008,13,#ff00ff,10,38,23,ROCKLAND TC
506922,Comm. & Industrial,bank3,Virginia,1,2797724,14,#1900ff,12,15,42,TOWNEBANK
507068,Comm. & Industrial,bank0,California,2,507068,3,#000000,10,-145,40,EXCHANGE BK
507068,Comm. & Industrial,bank1,Colorado,1,260055,5,#fffb00,12,-85,38,ALPINE BK
507068,Comm. & Industrial,bank2,Idaho,1,543262,2,#ff00ff,6,-120,20,DL EVANS BK
507068,Comm. & Industrial,bank3,New York,1,884303,2,#1900ff,6,28,18,CHEMUNG CANAL TC
508346,Comm. & Industrial,bank0,Missouri,2,508346,1,#000000,8,-38,38,HAWTHORN BK
508346,Comm. & Industrial,bank1,Missouri,1,290052,1,#fffb00,8,-42,42,CENTRAL BK OF THE OZARKS
508346,Comm. & Industrial,bank2,Arkansas,1,397540,1,#ff00ff,8,-42,48,FIRST NB OF FORT SMITH
508346,Comm. & Industrial,bank3,Texas,1,842460,2,#1900ff,12,-60,60,LONE STAR NB
509811,Comm. & Industrial,bank0,Kentucky,2,509811,4,#000000,12,-12,42,COMMUNITY TR BK INC
509811,Comm. & Industrial,bank1,Wisconsin,1,163549,1,#fffb00,6,-30,15,INCREDIBLEBANK
509811,Comm. & Industrial,bank2,Iowa,1,2142155,2,#ff00ff,10,-38,23,QUAD CITY B&TC
509811,Comm. & Industrial,bank3,Washington,1,2562164,1,#1900ff,6,-138,0,COASTAL CMNTY BK
509950,Comm. & Industrial,bank0,Oklahoma,2,509950,10,#000000,12,-55,46,FIRST UNITED B&TC
509950,Comm. & Industrial,bank1,Florida,1,83638,7,#fffb00,10,0,63,AMERANT BK NA
509950,Comm. & Industrial,bank2,California,1,657365,6,#ff00ff,6,-145,40,HANMI BK
509950,Comm. & Industrial,bank3,Illinois,1,773247,6,#1900ff,6,-27,37,MIDLAND ST BK
514066,Comm. & Industrial,bank0,California,2,514066,1,#000000,8,-145,40,MONTECITO B&T
514066,Comm. & Industrial,bank1,Pennsylvania,1,5210,2,#fffb00,12,15,30,ACNB BK
514066,Comm. & Industrial,bank2,Arkansas,1,12946,1,#ff00ff,8,-42,48,FARMERS B&TC
514066,Comm. & Industrial,bank3,Pennsylvania,1,18827,1,#1900ff,8,10,27,NEXTIER BK NA
521804,Comm. & Industrial,bank0,New York,2,521804,1,#000000,6,28,18,MAHOPAC BK
521804,Comm. & Industrial,bank1,Texas,1,45560,2,#fffb00,10,-60,60,JEFFERSON BK
521804,Comm. & Industrial,bank2,Arkansas,1,397540,1,#ff00ff,6,-42,48,FIRST NB OF FORT SMITH
521804,Comm. & Industrial,bank3,California,1,662369,3,#1900ff,12,-145,40,BANK OF THE SIERRA
522605,Comm. & Industrial,bank0,Maine,2,522605,3,#000000,12,50,10,BAR HARBOR BK & TR CO
522605,Comm. & Industrial,bank1,Oklahoma,1,106359,2,#fffb00,8,-55,46,FIRST FIDELITY BK
522605,Comm. & Industrial,bank2,California,1,703767,1,#ff00ff,6,-145,40,CENTRAL VALLEY CMNTY BK
522605,Comm. & Industrial,bank3,New Mexico,1,2649122,2,#1900ff,8,-90,50,NEW MEXICO B&TC
527954,Comm. & Industrial,bank0,Nebraska,2,527954,24,#000000,12,-70,27,FIRST NB OF OMAHA
527954,Comm. & Industrial,bank1,Texas,1,412751,8,#fffb00,6,-60,60,WOODFOREST NB
527954,Comm. & Industrial,bank2,California,1,595869,19,#ff00ff,10,-145,40,CATHAY BK
527954,Comm. & Industrial,bank3,Minnesota,1,800657,15,#1900ff,8,-45,5,BREMER BK NA
529958,Comm. & Industrial,bank0,Texas,2,529958,3,#000000,10,-60,60,TIB THE INDEP BANKERSBANK NA
529958,Comm. & Industrial,bank1,Pennsylvania,1,934329,30,#fffb00,12,15,30,BNY MELLON NA
529958,Comm. & Industrial,bank2,Pennsylvania,1,978118,1,#ff00ff,6,10,27,FIRST CITIZENS CMNTY BK
529958,Comm. & Industrial,bank3,North Carolina,1,2913887,1,#1900ff,6,9,48,SELECT B&TC
535753,Comm. & Industrial,bank0,Missouri,2,535753,2,#000000,10,-38,38,ACADEMY BK NA
535753,Comm. & Industrial,bank1,Pennsylvania,1,5210,2,#fffb00,10,15,30,ACNB BK
535753,Comm. & Industrial,bank2,Arkansas,1,12946,1,#ff00ff,6,-42,48,FARMERS B&TC
535753,Comm. & Industrial,bank3,Pennsylvania,1,18827,1,#1900ff,6,10,27,NEXTIER BK NA
537449,Comm. & Industrial,bank0,Wisconsin,2,537449,2,#000000,6,-30,15,FIRST BUS BK
537449,Comm. & Industrial,bank1,Illinois,1,762447,4,#fffb00,10,-27,37,FIRST MID B&TC NA
537449,Comm. & Industrial,bank2,Texas,1,774262,3,#ff00ff,8,-60,60,COMMUNITYBANK TX NA
537449,Comm. & Industrial,bank3,California,1,2209553,4,#1900ff,10,-145,40,HERITAGE BK OF CMRC
537560,Comm. & Industrial,bank0,Texas,2,537560,1,#000000,8,-60,60,EXTRACO BKS NA
537560,Comm. & Industrial,bank1,Wisconsin,1,242444,1,#fffb00,8,-30,15,TRI CITY NB
537560,Comm. & Industrial,bank2,California,1,1216826,2,#ff00ff,12,-145,40,SILVERGATE BK
537560,Comm. & Industrial,bank3,Illinois,1,1459717,1,#1900ff,8,-27,37,FCB BKS
538802,Comm. & Industrial,bank0,New York,2,538802,2,#000000,8,28,18,INTERAUDI BK
538802,Comm. & Industrial,bank1,Tennessee,1,159636,3,#fffb00,12,-15,47,WILSON B&TC
538802,Comm. & Industrial,bank2,South Dakota,1,374653,2,#ff00ff,8,-65,15,FIRST PREMIER BK
538802,Comm. & Industrial,bank3,Pennsylvania,1,678717,1,#1900ff,6,15,30,VIST BK
539032,Comm. & Industrial,bank0,Alabama,2,539032,1,#000000,8,-16,52,BANK INDEP
539032,Comm. & Industrial,bank1,Pennsylvania,1,212522,1,#fffb00,8,15,30,SOMERSET TC
