date,rssd_id,product,chg_b,chg_s,rolling9q_b,rolling9q_s
2022-06-30,18827,Comm. Real Estate,20.35349439,42.7087165,0.286458865,0.625323674
2022-09-30,18827,Comm. Real Estate,21.40423031,37.99722804,0.28425873,0.63989532
2022-12-31,18827,Comm. Real Estate,22.61524312,33.74665796,0.285011523,0.648716973
2023-03-31,18827,Comm. Real Estate,23.23425784,30.71160248,0.287302001,0.653679976
2023-06-30,18827,Comm. Real Estate,23.23425784,28.38435498,0.28457961,0.593139205
2023-09-30,18827,Comm. Real Estate,23.71522917,25.50957638,0.284851104,0.530600193
2023-12-31,18827,Comm. Real Estate,23.78425086,23.23375956,0.286291441,0.471525415
2024-03-31,18827,Comm. Real Estate,24.74619352,21.64815971,0.289011271,0.418924489
2020-12-31,18827,Jr Mortgage & HELOC,61,61,3.266150159,3.266150159
2021-03-31,18827,Jr Mortgage & HELOC,19.53508257,16.35400452,3.544506605,3.444623149
2021-06-30,18827,Jr Mortgage & HELOC,19.2218988,13.35638929,4.069257659,3.781391493
2021-09-30,18827,Jr Mortgage & HELOC,19.27746703,12.14884583,4.589513079,4.070139807
2021-12-31,18827,Jr Mortgage & HELOC,19.22069381,12.04795455,5.091610565,4.33888118
2022-03-31,18827,Jr Mortgage & HELOC,19.28235566,13.00629329,5.516510699,4.556409811
2022-06-30,18827,Jr Mortgage & HELOC,19.38626853,13.70622248,6.014965842,4.869427843
2022-09-30,18827,Jr Mortgage & HELOC,19.51578526,14.40157571,6.466378733,5.163907452
2022-12-31,18827,Jr Mortgage & HELOC,19.62737628,15.32019586,6.892245268,5.465563502
2023-03-31,18827,Jr Mortgage & HELOC,19.77993862,16.24104822,5.514169487,3.992050511
2023-06-30,18827,Jr Mortgage & HELOC,19.89856793,17.07508815,5.464413014,3.970310624
2023-09-30,18827,Jr Mortgage & HELOC,20.01975662,18.09724261,5.429145632,4.073040915
2023-12-31,18827,Jr Mortgage & HELOC,20.16303059,19.51556746,5.397318826,4.253663751
2024-03-31,18827,Jr Mortgage & HELOC,20.28933805,21.23626337,5.371700759,4.485396651
2020-12-31,18827,Credit Cards,0,0,0,0
2021-03-31,18827,Credit Cards,0,0,0,0
2021-06-30,18827,Credit Cards,0,0,0,0
2021-09-30,18827,Credit Cards,0,0,0,0
2021-12-31,18827,Credit Cards,0,0,0,0
2022-03-31,18827,Credit Cards,0,0,0,0
2022-06-30,18827,Credit Cards,0,0,0,0
2022-09-30,18827,Credit Cards,0,0,0,0
